user_id,classification,classifier
1005666008357629954,somewhat-anonymous,Cody
944980163745415169,somewhat-anonymous,Cody
2217911744,somewhat-anonymous,Cody
2202433073,somewhat-anonymous,Cody
252341897,somewhat-anonymous,Cody
2573449172,somewhat-anonymous,Cody
318640757,somewhat-anonymous,Cody
103047245,somewhat-anonymous,Cody
834084606655750146,somewhat-anonymous,Cody
37067541,somewhat-anonymous,Cody
2698270332,somewhat-anonymous,Cody
15169907,somewhat-anonymous,Cody
1009990459777744898,somewhat-anonymous,Cody
970572251090186240,somewhat-anonymous,Cody
53878055,somewhat-anonymous,Cody
1006847594738274304,somewhat-anonymous,Cody
753763469355286529,somewhat-anonymous,Cody
1953260851,somewhat-anonymous,Cody
760691158829895681,somewhat-anonymous,Cody
1222706728099295232,somewhat-anonymous,Cody
831228952366739461,somewhat-anonymous,Cody
39273753,somewhat-anonymous,Cody
3287381226,somewhat-anonymous,Cody
577497455,somewhat-anonymous,Cody
101892437,somewhat-anonymous,Cody
864713806198472704,somewhat-anonymous,Cody
1445237672,somewhat-anonymous,Cody
538756415,somewhat-anonymous,Cody
1193175135810916352,somewhat-anonymous,Cody
874679220,somewhat-anonymous,Cody
4861098646,somewhat-anonymous,Cody
310033726,somewhat-anonymous,Cody
770982142377598976,somewhat-anonymous,Cody
809636823077007360,somewhat-anonymous,Cody
1203663642836647939,somewhat-anonymous,Cody
850010384283181056,somewhat-anonymous,Cody
1213099742797787136,somewhat-anonymous,Cody
1002692371497259009,somewhat-anonymous,Cody
2246381850,somewhat-anonymous,Cody
813740128636174336,somewhat-anonymous,Cody
554321720,somewhat-anonymous,Cody
4528351102,somewhat-anonymous,Cody
5644772,somewhat-anonymous,Cody
440363716,somewhat-anonymous,Cody
2332022379,somewhat-anonymous,Cody
429580982,somewhat-anonymous,Cody
881768355744665600,somewhat-anonymous,Cody
1051639578,somewhat-anonymous,Cody
1240897739019423744,somewhat-anonymous,Cody
2224263515,somewhat-anonymous,Cody
1243690911369957380,somewhat-anonymous,Cody
1075349419,somewhat-anonymous,Cody
1194370186595512326,somewhat-anonymous,Cody
972778202107170816,somewhat-anonymous,Cody
280645709,somewhat-anonymous,Cody
3020505586,somewhat-anonymous,Cody
1152018569405726720,somewhat-anonymous,Cody
902006410032144386,somewhat-anonymous,Cody
887425366545113088,somewhat-anonymous,Cody
104665442,somewhat-anonymous,Cody
24419021,somewhat-anonymous,Cody
1886299088,somewhat-anonymous,Cody
798770058,somewhat-anonymous,Cody
330031760,somewhat-anonymous,Cody
434371307,somewhat-anonymous,Cody
25770236,somewhat-anonymous,Cody
3318510966,somewhat-anonymous,Cody
245179167,somewhat-anonymous,Cody
798357408619773953,somewhat-anonymous,Cody
2437814114,somewhat-anonymous,Cody
744510192117755904,somewhat-anonymous,Cody
988497750840037376,somewhat-anonymous,Cody
1208206348929916929,somewhat-anonymous,Cody
1016024421813932032,somewhat-anonymous,Cody
59763543,somewhat-anonymous,Cody
2894046368,somewhat-anonymous,Cody
490658986,somewhat-anonymous,Cody
19258769,somewhat-anonymous,Cody
1082086676518891521,somewhat-anonymous,Cody
96184990,somewhat-anonymous,Cody
4047109578,somewhat-anonymous,Cody
1252577047,somewhat-anonymous,Cody
394917947,somewhat-anonymous,Cody
1094740270158090240,somewhat-anonymous,Cody
2349574291,somewhat-anonymous,Cody
2171243406,somewhat-anonymous,Cody
145126877,somewhat-anonymous,Cody
1069440283203428353,somewhat-anonymous,Cody
82312453,somewhat-anonymous,Cody
1235005037589356544,somewhat-anonymous,Cody
1876345242,somewhat-anonymous,Cody
238090798,somewhat-anonymous,Cody
50766916,somewhat-anonymous,Cody
2957499479,somewhat-anonymous,Cody
1090994303684362240,somewhat-anonymous,Cody
1044024025582903298,somewhat-anonymous,Cody
742260614718853120,somewhat-anonymous,Sherry
1027735971083640834,somewhat-anonymous,Sherry
256478435,somewhat-anonymous,Sherry
1245809178754637826,somewhat-anonymous,Sherry
2701653242,somewhat-anonymous,Sherry
32523336,somewhat-anonymous,Sherry
58404520,somewhat-anonymous,Sherry
423576281,somewhat-anonymous,Sherry
285863300,somewhat-anonymous,Sherry
1180195574508863488,somewhat-anonymous,Sherry
243292922,somewhat-anonymous,Sherry
2780448642,somewhat-anonymous,Sherry
62963197,somewhat-anonymous,Cody
419155293,somewhat-anonymous,Cody
288820230,somewhat-anonymous,Cody
1159337246065143808,somewhat-anonymous,Cody
117336994,somewhat-anonymous,Cody
900783874099359744,somewhat-anonymous,Cody
