user_id,classification,classifier
839037248,somewhat-identifiable,Cody
948301802490990592,somewhat-identifiable,Cody
1692661374,somewhat-identifiable,Cody
799758604136022016,somewhat-identifiable,Cody
513978831,somewhat-identifiable,Cody
795675962901864448,somewhat-identifiable,Cody
118083760,somewhat-identifiable,Cody
953004452390240256,somewhat-identifiable,Cody
1189568237639483392,somewhat-identifiable,Cody
1139611752,somewhat-identifiable,Cody
1190219279196704768,somewhat-identifiable,Cody
50263050,somewhat-identifiable,Cody
2685549701,somewhat-identifiable,Sherry
953249724064239622,somewhat-identifiable,Sherry
172470910,somewhat-identifiable,Sherry
4826983212,somewhat-identifiable,Cody
588227277,somewhat-identifiable,Cody
3011334468,somewhat-identifiable,Caleb
2295632764,somewhat-identifiable,Sherry
1105195221095198721,somewhat-identifiable,Sherry
979061947671990272,somewhat-identifiable,Sherry
952754422723072001,somewhat-identifiable,Sherry
156959765,somewhat-identifiable,Caleb
520556809,somewhat-identifiable,Caleb
1073967434804183041,somewhat-identifiable,Caleb
3247110861,somewhat-identifiable,Caleb
127351993,somewhat-identifiable,Caleb
4397685615,somewhat-identifiable,Sherry
65898265,somewhat-identifiable,Caleb
63274778,somewhat-identifiable,Caleb
368020171,somewhat-identifiable,Caleb
827165218593710082,somewhat-identifiable,Caleb
926522531233783808,somewhat-identifiable,Caleb
51345053,somewhat-identifiable,Caleb
18923459,somewhat-identifiable,Caleb
1353186810,somewhat-identifiable,Cody
1118933723536343040,somewhat-identifiable,Cody
1231295804419166210,somewhat-identifiable,Cody
4114786713,somewhat-identifiable,Cody
2169761695,somewhat-identifiable,Cody
53988783,somewhat-identifiable,Cody
32476303,somewhat-identifiable,Cody
1216126630088839172,somewhat-identifiable,Cody
983866459,somewhat-identifiable,Cody
396988450,somewhat-identifiable,Cody
276278295,somewhat-identifiable,Cody
2331060890,somewhat-identifiable,Cody
131772432,somewhat-identifiable,Cody
518747079,somewhat-identifiable,Cody
4498755808,somewhat-identifiable,Cody
19561766,somewhat-identifiable,Cody
1036993066345943045,somewhat-identifiable,Cody
127980917,somewhat-identifiable,Cody
86135390,somewhat-identifiable,Cody
478155077,somewhat-identifiable,Cody
31853596,somewhat-identifiable,Cody
1035839082,somewhat-identifiable,Cody
860689574649057280,somewhat-identifiable,Cody
112340900,somewhat-identifiable,Cody
822669005227835392,somewhat-identifiable,Cody
1232823806802173954,somewhat-identifiable,Cody
3293719048,somewhat-identifiable,Cody
52910143,somewhat-identifiable,Cody
898227343432577026,somewhat-identifiable,Cody
302752798,somewhat-identifiable,Cody
27583721,somewhat-identifiable,Cody
773882972479029248,somewhat-identifiable,Cody
898446000649416704,somewhat-identifiable,Cody
3020390835,somewhat-identifiable,Cody
388989135,somewhat-identifiable,Cody
35168499,somewhat-identifiable,Cody
146746869,somewhat-identifiable,Cody
1247817016473300992,somewhat-identifiable,Cody
4363513229,somewhat-identifiable,Cody
52315346,somewhat-identifiable,Cody
